         310300 function calls (310295 primitive calls) in 0.064 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/simpy/resources/store.py:78(__init__)
        2    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/node.py:206(reset)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/networkx/classes/reportviews.py:1364(__call__)
        2    0.000    0.000    0.000    0.000 /home/alvis/anaconda3/lib/python3.12/typing.py:1221(__instancecheck__)
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/networkx/classes/reportviews.py:1065(__init__)
        2    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/link.py:51(_calculate_distance)
        2    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/node.py:48(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/simpy/resources/base.py:169(__init__)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
        2    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/utils.py:37(cal_dis_euclidean)
        2    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        2    0.000    0.000    0.000    0.000 /home/alvis/anaconda3/lib/python3.12/typing.py:1492(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/simpy/core.py:79(callback)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:823(items)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/networkx/classes/reportviews.py:905(__init__)
        3    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/networkx/classes/reportviews.py:947(<genexpr>)
        8    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/networkx/classes/reportviews.py:188(__getitem__)
        2    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/node.py:280(reset)
        2    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/networkx/classes/digraph.py:426(add_node)
       12    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/simpy/core.py:52(__get__)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/networkx/classes/multidigraph.py:367(succ)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
        4    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 <frozen codecs>:309(__init__)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/networkx/classes/graph.py:702(nodes)
        5    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/networkx/classes/reportviews.py:185(__iter__)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/networkx/classes/reportviews.py:946(__iter__)
        2    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/networkx/classes/multigraph.py:386(new_edge_key)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/policies/demo/demo_round_robin.py:5(__init__)
        2    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/node.py:235(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        6    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/networkx/classes/graph.py:457(__contains__)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       10    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
        2    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/link.py:132(reset)
        3    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:845(__init__)
        4    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        3    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        3    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/env.py:36(__init__)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/env.py:75(reset)
        3    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/utils.py:64(__init__)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/networkx/classes/graph.py:59(__set__)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/networkx/classes/digraph.py:37(__set__)
        2    0.000    0.000    0.000    0.000 {method 'clear' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/simpy/events.py:86(__init__)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/networkx/classes/coreviews.py:44(__init__)
        3    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/networkx/classes/reportviews.py:178(__init__)
        2    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        2    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/utils.py:80(loc)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/simpy/events.py:145(value)
        1    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/simpy/events.py:113(ok)
        2    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/networkx/classes/reportviews.py:921(<lambda>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        2    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/simpy/core.py:115(now)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/networkx/classes/digraph.py:63(__set__)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/core/base_scenario.py:124(_calculate_base_latency)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/policies/base_policy.py:7(__init__)
        1    0.000    0.000    0.000    0.000 /home/alvis/cours/pfe/raycloudsim/.venv/lib/python3.12/site-packages/networkx/classes/multidigraph.py:842(is_multigraph)


